Target,RA,DEC,Sp. Type,T_eff [K],V [mag],G [mag],Data product plots,Pre-upgrade DRS,Post-upgrade DRS,Pre-upgrade standard SERVAL,Post-upgrade standard SERVAL,Pre-upgrade mlc SERVAL (use these),Post-upgrade mlc SERVAL(use these),RA_deg,DEC_deg
GJ762,19:34:36.4836,-62:50:38.626,M3,,12.2,11.1,GJ762_plots.pdf,GJ762_harps_pre-drs.vels,,GJ762_harps_pre-serval.vels,,GJ762_harps_pre_serval-mlc.vels,,293.65201499999995,-62.84406277777778
GJ768.1,19:51:01.6437,+10:24:56.595,F8V,,5.1,4.9,GJ768.1_plots.pdf,GJ768.1_harps_pre-drs.vels,,GJ768.1_harps_pre-serval.vels,,GJ768.1_harps_pre_serval-mlc.vels,,297.75684874999996,10.415720833333333
GJ770,19:54:17.7452,-23:56:27.862,K3VaCN1,,6.2,5.9,GJ770_plots.pdf,GJ770_harps_pre-drs.vels,GJ770_harps_post-drs.vels,GJ770_harps_pre-serval.vels,GJ770_harps_post-serval.vels,GJ770_harps_pre_serval-mlc.vels,GJ770_harps_post_serval-mlc.vels,298.5739383333333,-23.941072777777777
GJ771,19:55:18.7925,+06:24:24.342,G8IV,,3.7,3.4,,GJ771_harps_pre-drs.vels,,GJ771_harps_pre-serval.vels,,GJ771_harps_pre_serval-mlc.vels,,298.8283020833333,6.406761666666667
GJ776,20:05:32.7652,-67:19:15.228,G2V,,6.1,5.9,,GJ776_harps_pre-drs.vels,GJ776_harps_post-drs.vels,GJ776_harps_pre-serval.vels,GJ776_harps_post-serval.vels,GJ776_harps_pre_serval-mlc.vels,GJ776_harps_post_serval-mlc.vels,301.38652166666657,-67.32089666666667
GJ780,20:08:43.6094,-66:10:55.443,G8IV,,3.6,3.3,,GJ780_harps_pre-drs.vels,GJ780_harps_post-drs.vels,GJ780_harps_pre-serval.vels,GJ780_harps_post-serval.vels,GJ780_harps_pre_serval-mlc.vels,GJ780_harps_post_serval-mlc.vels,302.1817058333333,-66.1820675
GJ781.2,20:09:36.4680,-14:17:12.886,K3/4V,4607.4,9.8,9.3,GJ781.2_plots.pdf,GJ781.2_harps_pre-drs.vels,,GJ781.2_harps_pre-serval.vels,,GJ781.2_harps_pre_serval-mlc.vels,,302.40194999999994,-14.286912777777777
GJ783,20:11:11.61,-36:05:50.6,,,,,GJ783_plots.pdf,GJ783_harps_pre-drs.vels,,GJ783_harps_pre-serval.vels,,GJ783_harps_pre_serval-mlc.vels,,302.79837499999996,-36.097388888888894
GJ784.1,20:13:51.8072,+13:23:19.714,K6V,,11.3,10.5,GJ784.1_plots.pdf,,GJ784.1_harps_post-drs.vels,,GJ784.1_harps_post-serval.vels,,GJ784.1_harps_post_serval-mlc.vels,303.4658633333333,13.388809444444444
GJ784,20:13:53.3963,-45:09:50.473,M0V,,8.0,7.2,GJ784_plots.pdf,GJ784_harps_pre-drs.vels,,GJ784_harps_pre-serval.vels,,GJ784_harps_pre_serval-mlc.vels,,303.47248458333326,-45.16402027777777
GJ785,20:15:17.3916,-27:01:58.713,K2+V,,5.7,5.5,,GJ785_harps_pre-drs.vels,GJ785_harps_post-drs.vels,GJ785_harps_pre-serval.vels,GJ785_harps_post-serval.vels,GJ785_harps_pre_serval-mlc.vels,GJ785_harps_post_serval-mlc.vels,303.82246499999997,-27.03297583333333
GJ787,20:19:36.9360,-46:25:41.214,K5.5V,,8.7,8.3,GJ787_plots.pdf,GJ787_harps_pre-drs.vels,GJ787_harps_post-drs.vels,GJ787_harps_pre-serval.vels,GJ787_harps_post-serval.vels,GJ787_harps_pre_serval-mlc.vels,GJ787_harps_post_serval-mlc.vels,304.90389999999996,-46.428115
GJ788.1,20:22:41.9481,-58:17:08.394,K5.0,,10.6,9.9,GJ788.1_plots.pdf,GJ788.1_harps_pre-drs.vels,,GJ788.1_harps_pre-serval.vels,,GJ788.1_harps_pre_serval-mlc.vels,,305.67478374999996,-58.285665
GJ792.1,20:32:23.6948,-09:51:12.186,G2.5IV,,5.7,5.5,GJ792.1_plots.pdf,GJ792.1_harps_pre-drs.vels,GJ792.1_harps_post-drs.vels,GJ792.1_harps_pre-serval.vels,GJ792.1_harps_post-serval.vels,GJ792.1_harps_pre_serval-mlc.vels,GJ792.1_harps_post_serval-mlc.vels,308.0987283333333,-9.853385
GJ796,20:40:11.7546,-23:46:25.924,G7.5IV-V,,6.4,6.2,GJ796_plots.pdf,GJ796_harps_pre-drs.vels,GJ796_harps_post-drs.vels,GJ796_harps_pre-serval.vels,GJ796_harps_post-serval.vels,GJ796_harps_pre_serval-mlc.vels,GJ796_harps_post_serval-mlc.vels,310.0489775,-23.773867777777777
GJ797,20:40:45.1407,+19:56:07.928,G5V,,6.4,6.3,GJ797_plots.pdf,GJ797_harps_pre-drs.vels,GJ797_harps_post-drs.vels,GJ797_harps_pre-serval.vels,GJ797_harps_post-serval.vels,GJ797_harps_pre_serval-mlc.vels,GJ797_harps_post_serval-mlc.vels,310.18808624999997,19.935535555555557
GJ798,20:42:18.7827,-52:41:57.354,K7V,,8.8,8.2,GJ798_plots.pdf,GJ798_harps_pre-drs.vels,GJ798_harps_post-drs.vels,GJ798_harps_pre-serval.vels,GJ798_harps_post-serval.vels,GJ798_harps_pre_serval-mlc.vels,GJ798_harps_post_serval-mlc.vels,310.57826124999997,-52.699265
GJ79,01:52:49.1730,-22:26:05.489,M0V,,8.9,8.2,GJ79_plots.pdf,GJ79_harps_pre-drs.vels,GJ79_harps_post-drs.vels,GJ79_harps_pre-serval.vels,GJ79_harps_post-serval.vels,GJ79_harps_pre_serval-mlc.vels,GJ79_harps_post_serval-mlc.vels,28.204887499999998,-22.434858055555555
GJ7,00:09:04.3583,-27:07:19.679,M0V,,11.7,10.9,GJ7_plots.pdf,GJ7_harps_pre-drs.vels,,GJ7_harps_pre-serval.vels,,GJ7_harps_pre_serval-mlc.vels,,2.268159583333333,-27.122133055555555
GJ800,20:42:57.1504,-18:55:06.089,M1.5,,10.7,9.9,GJ800_plots.pdf,GJ800_harps_pre-drs.vels,,GJ800_harps_pre-serval.vels,,GJ800_harps_pre_serval-mlc.vels,,310.73812666666663,-18.918358055555558
GJ801,20:44:00.6563,-21:21:20.849,K7V,,9.9,9.4,GJ801_plots.pdf,GJ801_harps_pre-drs.vels,GJ801_harps_post-drs.vels,GJ801_harps_pre-serval.vels,GJ801_harps_post-serval.vels,GJ801_harps_pre_serval-mlc.vels,GJ801_harps_post_serval-mlc.vels,311.0027345833333,-21.35579138888889
GJ803,20:45:09.5323,-31:20:27.241,M1VeBa1,,8.6,7.8,GJ803_plots.pdf,GJ803_harps_pre-drs.vels,GJ803_harps_post-drs.vels,GJ803_harps_pre-serval.vels,GJ803_harps_post-serval.vels,GJ803_harps_pre_serval-mlc.vels,GJ803_harps_post_serval-mlc.vels,311.28971791666663,-31.340900277777777
GJ805,20:46:05.7326,-25:16:15.231,F5V,6572.2,4.1,4.0,GJ805_plots.pdf,GJ805_harps_pre-drs.vels,,GJ805_harps_pre-serval.vels,,GJ805_harps_pre_serval-mlc.vels,,311.5238858333333,-25.2708975
GJ808,20:51:41.5814,-79:18:39.983,M2,,11.9,10.9,GJ808_plots.pdf,GJ808_harps_pre-drs.vels,,GJ808_harps_pre-serval.vels,,GJ808_harps_pre_serval-mlc.vels,,312.9232558333333,-79.31110638888889
GJ811,20:56:47.3303,-26:17:46.969,F6V,6242.8,5.7,5.6,GJ811_plots.pdf,GJ811_harps_pre-drs.vels,,GJ811_harps_pre-serval.vels,,GJ811_harps_pre_serval-mlc.vels,,314.1972095833333,-26.29638027777778
GJ812.1,20:57:40.0679,-44:07:45.739,G2VFe-1.0,,6.5,6.3,,GJ812.1_harps_pre-drs.vels,GJ812.1_harps_post-drs.vels,GJ812.1_harps_pre-serval.vels,GJ812.1_harps_post-serval.vels,GJ812.1_harps_pre_serval-mlc.vels,GJ812.1_harps_post_serval-mlc.vels,314.4169495833333,-44.12937194444444
GJ812,20:56:48.5380,-04:50:49.149,M3Vnne,,11.9,10.7,GJ812_plots.pdf,GJ812_harps_pre-drs.vels,,GJ812_harps_pre-serval.vels,,GJ812_harps_pre_serval-mlc.vels,,314.2022416666666,-4.846985833333333
GJ817,21:04:53.3814,-16:57:31.948,M1.5V,,11.5,10.6,GJ817_plots.pdf,GJ817_harps_pre-drs.vels,,GJ817_harps_pre-serval.vels,,GJ817_harps_pre_serval-mlc.vels,,316.2224225,-16.958874444444444
GJ818,21:05:19.7460,+07:04:09.473,K6V,,8.3,7.8,GJ818_plots.pdf,GJ818_harps_pre-drs.vels,,GJ818_harps_pre-serval.vels,,GJ818_harps_pre_serval-mlc.vels,,316.3322749999999,7.069298055555556
GJ821,21:09:17.4274,-13:18:09.019,M1V,,10.9,10.0,GJ821_plots.pdf,GJ821_harps_pre-drs.vels,,GJ821_harps_pre-serval.vels,,GJ821_harps_pre_serval-mlc.vels,,317.32261416666665,-13.302505277777778
GJ825.2,21:18:27.2693,-43:20:04.746,G5V,5836.8,6.8,6.6,GJ825.2_plots.pdf,GJ825.2_harps_pre-drs.vels,GJ825.2_harps_post-drs.vels,GJ825.2_harps_pre-serval.vels,GJ825.2_harps_post-serval.vels,GJ825.2_harps_pre_serval-mlc.vels,GJ825.2_harps_post_serval-mlc.vels,319.6136220833333,-43.334651666666666
GJ825,21:17:15.2688,-38:52:02.510,M1V,,6.7,6.0,GJ825_plots.pdf,,GJ825_harps_post-drs.vels,,GJ825_harps_post-serval.vels,,GJ825_harps_post_serval-mlc.vels,319.31361999999996,-38.86736388888889
GJ826.1,21:20:13.8211,-19:51:08.226,K6.5Vk,,9.1,8.5,GJ826.1_plots.pdf,GJ826.1_harps_pre-drs.vels,,GJ826.1_harps_pre-serval.vels,,GJ826.1_harps_pre_serval-mlc.vels,,320.05758791666665,-19.852285000000002
GJ827.1,21:26:58.4529,-56:07:30.948,K2.5V,,8.7,8.4,GJ827.1_plots.pdf,GJ827.1_harps_pre-drs.vels,GJ827.1_harps_post-drs.vels,GJ827.1_harps_pre-serval.vels,GJ827.1_harps_post-serval.vels,GJ827.1_harps_pre_serval-mlc.vels,GJ827.1_harps_post_serval-mlc.vels,321.74355375,-56.125263333333336
GJ827,21:26:26.6048,-65:21:58.314,F9VFe-1.4CH-0.7,,4.2,4.0,GJ827_plots.pdf,GJ827_harps_pre-drs.vels,,GJ827_harps_pre-serval.vels,,GJ827_harps_pre_serval-mlc.vels,,321.6108533333333,-65.36619833333333
GJ83.1,02:00:12.9561,+13:03:07.021,M4.5V,,12.3,10.7,GJ83.1_plots.pdf,GJ83.1_harps_pre-drs.vels,,GJ83.1_harps_pre-serval.vels,,GJ83.1_harps_pre_serval-mlc.vels,,30.053983749999997,13.05195027777778
GJ836.7,21:44:31.3299,+14:46:18.982,G0V+,5955.0,5.9,5.8,GJ836.7_plots.pdf,GJ836.7_harps_pre-drs.vels,GJ836.7_harps_post-drs.vels,GJ836.7_harps_pre-serval.vels,GJ836.7_harps_post-serval.vels,GJ836.7_harps_pre_serval-mlc.vels,GJ836.7_harps_post_serval-mlc.vels,326.13054125,14.771939444444445
GJ838,21:48:15.7510,-47:18:13.020,G2V,,5.6,5.4,,GJ838_harps_pre-drs.vels,GJ838_harps_post-drs.vels,GJ838_harps_pre-serval.vels,GJ838_harps_post-serval.vels,GJ838_harps_pre_serval-mlc.vels,GJ838_harps_post_serval-mlc.vels,327.06562916666667,-47.30361666666666
GJ83,01:58:46.1946,-61:34:11.494,F0IV,,2.8,2.7,GJ83_plots.pdf,GJ83_harps_pre-drs.vels,,GJ83_harps_pre-serval.vels,,GJ83_harps_pre_serval-mlc.vels,,29.6924775,-61.56985944444445
GJ84.1,02:05:23.6523,-28:04:11.040,M1+V,,10.9,10.2,GJ84.1_plots.pdf,GJ84.1_harps_pre-drs.vels,,GJ84.1_harps_pre-serval.vels,,GJ84.1_harps_pre_serval-mlc.vels,,31.34855125,-28.069733333333332
GJ841,21:57:41.2038,-51:00:22.240,M2Ve,,10.5,9.4,GJ841_plots.pdf,GJ841_harps_pre-drs.vels,,GJ841_harps_pre-serval.vels,,GJ841_harps_pre_serval-mlc.vels,,329.4216825,-51.00617777777778
GJ842,21:59:34.7027,-59:45:10.135,M0.5,,9.7,8.9,GJ842_plots.pdf,GJ842_harps_pre-drs.vels,,GJ842_harps_pre-serval.vels,,GJ842_harps_pre_serval-mlc.vels,,329.8945945833333,-59.75281527777778
GJ845,22:03:21.6542,-56:47:09.537,K5V,,4.7,4.3,,GJ845_harps_pre-drs.vels,GJ845_harps_post-drs.vels,GJ845_harps_pre-serval.vels,GJ845_harps_post-serval.vels,GJ845_harps_pre_serval-mlc.vels,GJ845_harps_post_serval-mlc.vels,330.8402258333333,-56.785982499999996
GJ846,22:02:10.2751,+01:24:00.830,M0.5V,,9.1,8.4,GJ846_plots.pdf,GJ846_harps_pre-drs.vels,,GJ846_harps_pre-serval.vels,,GJ846_harps_pre_serval-mlc.vels,,330.54281291666666,1.4002305555555554
GJ848,22:07:00.6620,+25:20:42.376,F5V,,3.8,3.6,GJ848_plots.pdf,GJ848_harps_pre-drs.vels,,GJ848_harps_pre-serval.vels,,GJ848_harps_pre_serval-mlc.vels,,331.7527583333333,25.345104444444445
GJ849.1,22:10:08.7803,-32:32:54.275,F6V,,4.9,4.8,,GJ849.1_harps_pre-drs.vels,,GJ849.1_harps_pre-serval.vels,,GJ849.1_harps_pre_serval-mlc.vels,,332.5365845833333,-32.54840972222222
GJ849,22:09:40.3443,-04:38:26.651,M3.5V,,10.4,9.2,GJ849_plots.pdf,GJ849_harps_pre-drs.vels,GJ849_harps_post-drs.vels,GJ849_harps_pre-serval.vels,GJ849_harps_post-serval.vels,GJ849_harps_pre_serval-mlc.vels,GJ849_harps_post_serval-mlc.vels,332.41810124999995,-4.640736388888889
GJ851.3,22:14:38.2203,-15:49:06.715,G9.5IV-V,,6.5,6.3,,GJ851.3_harps_pre-drs.vels,GJ851.3_harps_post-drs.vels,GJ851.3_harps_pre-serval.vels,GJ851.3_harps_post-serval.vels,GJ851.3_harps_pre_serval-mlc.vels,GJ851.3_harps_post_serval-mlc.vels,333.65925124999995,-15.818531944444445
GJ853,22:18:15.6134,-53:37:37.466,G0V,,5.3,5.2,,GJ853_harps_pre-drs.vels,GJ853_harps_post-drs.vels,GJ853_harps_pre-serval.vels,GJ853_harps_post-serval.vels,GJ853_harps_pre_serval-mlc.vels,GJ853_harps_post_serval-mlc.vels,334.5650558333333,-53.62707388888889
GJ855.1,22:24:36.8855,-72:15:19.494,G9VFe-3.1CH-1.5,,5.3,5.0,GJ855.1_plots.pdf,GJ855.1_harps_pre-drs.vels,GJ855.1_harps_post-drs.vels,GJ855.1_harps_pre-serval.vels,GJ855.1_harps_post-serval.vels,GJ855.1_harps_pre_serval-mlc.vels,GJ855.1_harps_post_serval-mlc.vels,336.1536895833333,-72.255415
GJ855,22:23:33.3031,-57:13:14.261,M1Vk:,,10.7,9.9,GJ855_plots.pdf,GJ855_harps_pre-drs.vels,,GJ855_harps_pre-serval.vels,,GJ855_harps_pre_serval-mlc.vels,,335.8887629166666,-57.22062805555556
GJ85,02:07:23.2521,-66:34:11.497,M2,,11.6,10.6,GJ85_plots.pdf,GJ85_harps_pre-drs.vels,,GJ85_harps_pre-serval.vels,,GJ85_harps_pre_serval-mlc.vels,,31.84688375,-66.56986027777778
GJ862,22:29:15.2363,-30:01:06.262,K4V,,7.6,7.3,GJ862_plots.pdf,GJ862_harps_pre-drs.vels,GJ862_harps_post-drs.vels,GJ862_harps_pre-serval.vels,GJ862_harps_post-serval.vels,GJ862_harps_pre_serval-mlc.vels,GJ862_harps_post_serval-mlc.vels,337.31348458333326,-30.01840611111111
GJ864,22:36:09.6872,-00:50:29.765,M1V,,9.9,9.3,GJ864_plots.pdf,GJ864_harps_pre-drs.vels,GJ864_harps_post-drs.vels,GJ864_harps_pre-serval.vels,GJ864_harps_post-serval.vels,GJ864_harps_pre_serval-mlc.vels,GJ864_harps_post_serval-mlc.vels,339.0403633333333,-0.8416013888888889
GJ86,02:10:25.9190,-50:49:25.467,K1.5V,,6.2,5.9,GJ86_plots.pdf,,GJ86_harps_post-drs.vels,,GJ86_harps_post-serval.vels,,GJ86_harps_post_serval-mlc.vels,32.607995833333334,-50.82374083333334
GJ875,22:50:19.4242,-07:05:24.380,M0.5V,4055.7,9.8,9.1,GJ875_plots.pdf,GJ875_harps_pre-drs.vels,,GJ875_harps_pre-serval.vels,,GJ875_harps_pre_serval-mlc.vels,,342.5809341666666,-7.090105555555556
GJ876,22:53:16.7323,-14:15:49.303,M3.5V,,10.2,8.9,,GJ876_harps_pre-drs.vels,GJ876_harps_post-drs.vels,GJ876_harps_pre-serval.vels,GJ876_harps_post-serval.vels,GJ876_harps_pre_serval-mlc.vels,GJ876_harps_post_serval-mlc.vels,343.3197179166666,-14.263695277777778
GJ877,22:55:45.5132,-75:27:31.205,M3V,,10.4,9.3,GJ877_plots.pdf,GJ877_harps_pre-drs.vels,,GJ877_harps_pre-serval.vels,,GJ877_harps_pre_serval-mlc.vels,,343.9396383333333,-75.45866805555556
GJ879,22:56:24.0532,-31:33:56.035,K4Ve,,6.5,6.1,,GJ879_harps_pre-drs.vels,,GJ879_harps_pre-serval.vels,,GJ879_harps_pre_serval-mlc.vels,,344.10022166666664,-31.56556527777778
GJ87,02:12:20.9874,+03:34:32.230,M1V,,10.0,9.2,,GJ87_harps_pre-drs.vels,GJ87_harps_post-drs.vels,GJ87_harps_pre-serval.vels,GJ87_harps_post-serval.vels,GJ87_harps_pre_serval-mlc.vels,GJ87_harps_post_serval-mlc.vels,33.087447499999996,3.575619444444444
GJ880,22:56:34.8047,+16:33:12.353,M1.5Ve,,8.6,7.8,,GJ880_harps_pre-drs.vels,GJ880_harps_post-drs.vels,GJ880_harps_pre-serval.vels,GJ880_harps_post-serval.vels,GJ880_harps_pre_serval-mlc.vels,GJ880_harps_post_serval-mlc.vels,344.1450195833333,16.55343138888889
GJ881,22:57:39.0462,-29:37:20.053,A4V,,1.2,,,GJ881_harps_pre-drs.vels,GJ881_harps_post-drs.vels,GJ881_harps_pre-serval.vels,GJ881_harps_post-serval.vels,GJ881_harps_pre_serval-mlc.vels,GJ881_harps_post_serval-mlc.vels,344.41269249999993,-29.622236944444445
GJ882,22:57:27.9804,+20:46:07.782,G2IV,5830.0,5.5,5.3,GJ882_plots.pdf,GJ882_harps_pre-drs.vels,,GJ882_harps_pre-serval.vels,,GJ882_harps_pre_serval-mlc.vels,,344.36658499999993,20.76882833333333
GJ887,23:05:52.0354,-35:51:11.058,M2V,,7.3,6.5,,GJ887_harps_pre-drs.vels,GJ887_harps_post-drs.vels,GJ887_harps_pre-serval.vels,GJ887_harps_post-serval.vels,GJ887_harps_pre_serval-mlc.vels,GJ887_harps_post_serval-mlc.vels,346.4668141666666,-35.853071666666665
GJ891,23:10:15.7442,-25:55:52.704,M2V,,11.3,10.3,GJ891_plots.pdf,GJ891_harps_pre-drs.vels,,GJ891_harps_pre-serval.vels,,GJ891_harps_pre_serval-mlc.vels,,347.56560083333335,-25.931306666666668
GJ894,23:17:38.0186,-42:11:29.739,K6+Vk:,,10.4,9.8,GJ894_plots.pdf,GJ894_harps_pre-drs.vels,GJ894_harps_post-drs.vels,GJ894_harps_pre-serval.vels,GJ894_harps_post-serval.vels,GJ894_harps_pre_serval-mlc.vels,GJ894_harps_post_serval-mlc.vels,349.40841083333333,-42.19159416666666
GJ9003,00:07:32.5418,-23:49:07.398,G9.5V,,8.7,8.5,GJ9003_plots.pdf,GJ9003_harps_pre-drs.vels,,GJ9003_harps_pre-serval.vels,,GJ9003_harps_pre_serval-mlc.vels,,1.885590833333333,-23.818721666666665
GJ9007,00:17:16.5271,-43:51:09.839,G2V,,8.0,7.8,GJ9007_plots.pdf,GJ9007_harps_pre-drs.vels,,GJ9007_harps_pre-serval.vels,,GJ9007_harps_pre_serval-mlc.vels,,4.318862916666666,-43.852733055555554
GJ9008,00:17:58.8690,-13:27:20.308,G0V,,6.5,6.4,,GJ9008_harps_pre-drs.vels,GJ9008_harps_post-drs.vels,GJ9008_harps_pre-serval.vels,GJ9008_harps_post-serval.vels,GJ9008_harps_pre_serval-mlc.vels,GJ9008_harps_post_serval-mlc.vels,4.495287499999999,-13.45564111111111
GJ900,23:35:00.2769,+01:36:19.433,K7V,,9.5,9.0,GJ900_plots.pdf,GJ900_harps_pre-drs.vels,GJ900_harps_post-drs.vels,GJ900_harps_pre-serval.vels,GJ900_harps_post-serval.vels,GJ900_harps_pre_serval-mlc.vels,GJ900_harps_post_serval-mlc.vels,353.75115374999996,1.6053980555555556
GJ9010,00:21:19.6197,-45:44:47.108,K7.0,,10.4,9.6,GJ9010_plots.pdf,GJ9010_harps_pre-drs.vels,,GJ9010_harps_pre-serval.vels,,GJ9010_harps_pre_serval-mlc.vels,,5.331748749999999,-45.74641888888889
GJ9012,00:22:51.7883,-12:12:33.972,G2.5V,,6.4,6.2,GJ9012_plots.pdf,GJ9012_harps_pre-drs.vels,,GJ9012_harps_pre-serval.vels,,GJ9012_harps_pre_serval-mlc.vels,,5.715784583333332,-12.209436666666665
GJ9015,00:32:43.9055,-63:01:53.397,A0V,9278.8,5.1,5.0,GJ9015_plots.pdf,GJ9015_harps_pre-drs.vels,,GJ9015_harps_pre-serval.vels,,GJ9015_harps_pre_serval-mlc.vels,,8.182939583333333,-63.03149916666666
GJ9018,00:39:58.8243,-44:15:11.582,M0.5,,11.4,10.6,GJ9018_plots.pdf,GJ9018_harps_pre-drs.vels,,GJ9018_harps_pre-serval.vels,,GJ9018_harps_pre_serval-mlc.vels,,9.99510125,-44.253217222222226
GJ9024,00:44:26.6505,-26:30:56.455,G7VFe-1CH-0.5,,7.8,7.6,GJ9024_plots.pdf,GJ9024_harps_pre-drs.vels,,GJ9024_harps_pre-serval.vels,,GJ9024_harps_pre_serval-mlc.vels,,11.111043749999999,-26.515681944444445
GJ9027,00:45:04.8938,+01:47:07.876,K3V,,8.0,7.7,GJ9027_plots.pdf,,GJ9027_harps_post-drs.vels,,GJ9027_harps_post-serval.vels,,GJ9027_harps_post_serval-mlc.vels,11.270390833333332,1.785521111111111
GJ9029,00:47:30.7544,-36:56:24.703,F7/8V,,7.8,7.7,GJ9029_plots.pdf,GJ9029_harps_pre-drs.vels,,GJ9029_harps_pre-serval.vels,,GJ9029_harps_pre_serval-mlc.vels,,11.878143333333332,-36.940195277777775
GJ902,23:39:37.3871,-72:43:19.757,K3+V,,7.1,6.7,GJ902_plots.pdf,GJ902_harps_pre-drs.vels,GJ902_harps_post-drs.vels,GJ902_harps_pre-serval.vels,GJ902_harps_post-serval.vels,GJ902_harps_pre_serval-mlc.vels,GJ902_harps_post_serval-mlc.vels,354.90577958333324,-72.72215472222223
GJ9031,00:48:58.7075,+16:56:26.319,F8V,6284.0,5.1,4.9,GJ9031_plots.pdf,GJ9031_harps_pre-drs.vels,,GJ9031_harps_pre-serval.vels,,GJ9031_harps_pre_serval-mlc.vels,,12.244614583333332,16.940644166666665
GJ9043,01:08:57.9518,-30:55:45.391,G8/K0V,5352.6,9.1,8.9,GJ9043_plots.pdf,,,,,,,17.241465833333333,-30.92927527777778
GJ904,23:39:57.0413,+05:37:34.647,F7V,,4.1,3.9,GJ904_plots.pdf,GJ904_harps_pre-drs.vels,,GJ904_harps_pre-serval.vels,,GJ904_harps_pre_serval-mlc.vels,,354.9876720833333,5.626290833333334
GJ9055,01:23:02.6387,-12:57:57.845,K0VCN+2,,7.8,7.6,GJ9055_plots.pdf,GJ9055_harps_pre-drs.vels,,GJ9055_harps_pre-serval.vels,,GJ9055_harps_pre_serval-mlc.vels,,20.760994583333332,-12.966068055555555
GJ9056,01:24:53.9440,+18:29:59.754,K2,,8.5,8.2,GJ9056_plots.pdf,GJ9056_harps_pre-drs.vels,,GJ9056_harps_pre-serval.vels,,GJ9056_harps_pre_serval-mlc.vels,,21.224766666666664,18.49993166666667
GJ9067,02:02:03.1742,+03:56:25.124,K5V,,10.6,10.1,GJ9067_plots.pdf,GJ9067_harps_pre-drs.vels,,GJ9067_harps_pre-serval.vels,,GJ9067_harps_pre_serval-mlc.vels,,30.513225833333326,3.9403122222222224
GJ9075,02:12:47.5410,-02:23:37.066,F8V,,5.7,5.5,GJ9075_plots.pdf,GJ9075_harps_pre-drs.vels,GJ9075_harps_post-drs.vels,GJ9075_harps_pre-serval.vels,GJ9075_harps_post-serval.vels,GJ9075_harps_pre_serval-mlc.vels,GJ9075_harps_post_serval-mlc.vels,33.19808749999999,-2.3936294444444446
GJ9079,02:21:23.9951,-30:56:01.101,K2+V,,8.8,8.6,GJ9079_plots.pdf,GJ9079_harps_pre-drs.vels,,GJ9079_harps_pre-serval.vels,,GJ9079_harps_pre_serval-mlc.vels,,35.34997958333333,-30.933639166666666
GJ9080,02:21:44.9406,-68:39:33.889,A2V,,4.1,4.0,GJ9080_plots.pdf,GJ9080_harps_pre-drs.vels,,GJ9080_harps_pre-serval.vels,,GJ9080_harps_pre_serval-mlc.vels,,35.4372525,-68.65941361111112
GJ908,23:49:12.5251,+02:24:04.403,M1VFe-1,,9.0,8.1,GJ908_plots.pdf,GJ908_harps_pre-drs.vels,,GJ908_harps_pre-serval.vels,,GJ908_harps_pre_serval-mlc.vels,,357.30218791666664,2.4012230555555556
GJ9107,03:01:37.6304,-28:05:29.376,G9:V,,5.8,5.6,GJ9107_plots.pdf,GJ9107_harps_pre-drs.vels,,GJ9107_harps_pre-serval.vels,,GJ9107_harps_pre_serval-mlc.vels,,45.40679333333333,-28.091493333333332
GJ9109,03:03:38.9588,-05:39:58.670,G5V,,8.1,7.9,GJ9109_plots.pdf,GJ9109_harps_pre-drs.vels,,GJ9109_harps_pre-serval.vels,,GJ9109_harps_pre_serval-mlc.vels,,45.91232833333332,-5.666297222222223
GJ9116,03:26:11.1170,-30:37:04.118,G8V,,7.9,7.6,GJ9116_plots.pdf,GJ9116_harps_pre-drs.vels,,GJ9116_harps_pre-serval.vels,,GJ9116_harps_pre_serval-mlc.vels,,51.54632083333333,-30.617810555555558
GJ9118,03:29:22.6772,-62:56:15.099,F3IV/V,,4.7,4.6,GJ9118_plots.pdf,GJ9118_harps_pre-drs.vels,,GJ9118_harps_pre-serval.vels,,GJ9118_harps_pre_serval-mlc.vels,,52.34448833333333,-62.937527499999995
GJ9121,03:40:22.0654,-03:13:01.124,G0VmF2,,6.7,6.5,,GJ9121_harps_pre-drs.vels,GJ9121_harps_post-drs.vels,GJ9121_harps_pre-serval.vels,GJ9121_harps_post-serval.vels,GJ9121_harps_pre_serval-mlc.vels,GJ9121_harps_post_serval-mlc.vels,55.091939166666656,-3.216978888888889
GJ912,23:55:39.7820,-06:08:33.354,M2.5Vk,,11.2,10.1,GJ912_plots.pdf,GJ912_harps_pre-drs.vels,,GJ912_harps_pre-serval.vels,,GJ912_harps_pre_serval-mlc.vels,,358.9157583333333,-6.142598333333334
GJ9133,03:47:58.0982,+02:47:16.150,M0V,,11.0,10.2,GJ9133_plots.pdf,GJ9133_harps_pre-drs.vels,,GJ9133_harps_pre-serval.vels,,GJ9133_harps_pre_serval-mlc.vels,,56.992075833333324,2.787819444444444
GJ9156,04:25:09.1511,-64:04:48.254,G5V,,7.9,7.7,GJ9156_plots.pdf,GJ9156_harps_pre-drs.vels,GJ9156_harps_post-drs.vels,GJ9156_harps_pre-serval.vels,GJ9156_harps_post-serval.vels,GJ9156_harps_pre_serval-mlc.vels,GJ9156_harps_post_serval-mlc.vels,66.28812958333333,-64.08007055555555
